horse_name,section,show_class,show,rider,place,entries,points
Horse: Diva De Baudry        #18058   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #9,Aidan Smith-Fullerton,10,38,0
Horse: Divine        #17701   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #1,Sophie Owen,5,19,4
Horse: Django HMZ        #17590   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Carly Campbell-Cooper,1,7,8
Horse: Django S        #22508   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3""",World Equestrian Center Winter Classic #19,Natalie Bertoglio,5,5,4
Horse: Django S        #22375   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #18,Mara P. Kranz,1,10,10
Horse: Djinn du-Rey Ternel        #14036   ,Medium Jr/AO Jumper,$5000 Medium Jr/Am/Am Own Classic 1.30m 340.c,World Equestrian Ocala Winter Spectacular #1,Jaelynn Downing,11,15,0
Horse: Dobby's Lost Sock        #20052   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6""",World Equestrian Ocala Winter Spectacular #7,Samantha Ayala,8,50,1
Horse: Doc Holiday P        #19299   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #5,Payten Conn,5,14,4
Horse: Doc's Apothecary        #22422   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Center Winter Classic #18,Molly Kindness,5,14,4
Horse: Doirin Clover Boy        #17478   ,1.20m Jumper,$500 1.20 Meter Jumper - 339.a,World Equestrian Ocala Winter Spectacular #1,Sulu Rose-Reed,1,33,10
Horse: Doki du Loret        #21542   ,1.30m Jumper,$1000 1.30 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #10,Kayla Benney,2,5,7
Horse: Dolce 19        #17603   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #1,Eden Koeth,6,12,3
Horse: Dolce M        #20258   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Peter Leone,3,55,6
Horse: Dolce Vida        #21829   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #11,Brittany Pecoraro,8,16,1
Horse: Dolce Vita        #21864   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3""",World Equestrian Ocala Winter Spectacular #12,Jennifer Bryant,7,16,2
Horse: Dolita        #19130   ,"Amateur Owner Hunter 3'3"" 18-35","$300 Amateur Owner Hunter 3'3"" 18-35 Years",World Equestrian Ocala Winter Spectacular #5,Shannon Jones,8,12,1
Horse: Dollar        #18077   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3"" 16-17",World Equestrian Ocala Winter Spectacular #6,Kyle Winters,4,12,5
Horse: Dollar Cash        #17564   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #3,Trapp O'Neal,6,24,3
Horse: Dollar Cash        #18314   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #2,Trapp O'Neal,7,22,2
Horse: Dollard Jessy Stable KVHL        #19621   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #6,Theo Genn,4,43,5
Horse: doloris        #21447   ,1.30m Jumper,$1000 1.30 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #10,Santiago Lambre,4,18,5
Horse: Dom Perignon        #18522   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #3,Mia Obrien,8,35,1
Horse: Domanie        #19043   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #4,Juliet Matinho,6,11,3
Horse: Domanie        #19421   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #5,Juliet Matinho,7,17,2
Horse: Domanie        #21530   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #10,,8,11,1
Horse: Domanie        #21311   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #9,Juliet Matinho,3,9,6
Horse: Domingos JT Z        #19038   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #11,Sabrina Lefebvre,3,10,6
Horse: Dominica V        #22120   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #12,Charlotte Yamashita,6,20,3
Horse: Domino Normandy        #18162   ,1.20m Jumper,$500 1.20 Meter Jumper - 339.a,World Equestrian Ocala Winter Spectacular #8,Candice King,4,56,5
Horse: Don Carlos        #20426   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6""",World Equestrian Ocala Winter Spectacular #7,Erin M. Clayton,7,55,2
Horse: Don Carlos        #18860   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6""",World Equestrian Ocala Winter Spectacular #4,Erin M. Clayton,6,34,3
Horse: Don Carlos        #19216   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6""",World Equestrian Ocala Winter Spectacular #5,Erin M. Clayton,7,45,2
Horse: Don Gabo        #18686   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #3,Manuel G. Torres,6,18,3
Horse: Don Gabo        #19028   ,1.40m Jumper,$1500 1.40 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #4,Manuel G. Torres,8,12,1
Horse: Don Gabo        #20977   ,1.40m Jumper,$1500 1.40 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #8,Manuel G. Torres,8,16,1
Horse: Don Gerhard        #12150   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO Jumper 1.20-1.25 339.a,World Equestrian Ocala Winter Spectacular #6,Reilly Gogul,6,28,3
Horse: Don't Ju No        #17966   ,Intermediate Adult Hunter,$50 Intermediate Adult Hunter U/S,World Equestrian Ocala Winter Spectacular #2,Christina L. Dean,7,22,2
Horse: Don't Stop Believin'        #20032   ,Thoroughbred Hunter,Thoroughbred Hunter,World Equestrian Ocala Winter Spectacular #8,Pauline Jodry,4,4,5
Horse: Don't Tell        #19769   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #6,Kasey Lenz,3,32,6
Horse: Donastar        #15218   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #5,Angela Yates,7,25,2
Horse: Donatello        #22507   ,"Junior Hunter 3'3"" 16-17","$300 Junior Hunter 3'3""",World Equestrian Center Winter Classic #19,Brynn Kuhnell,4,5,5
Horse: Donatello D        #22573   ,"USHJA/NSBA 2'6"" Hunter","USHJA Hunter 2'6"" U/S (California Split)",World Equestrian Center Winter Classic #19,Sakura Otto,7,17,2
Horse: Donatello ES        #17781   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #2,Hanley T. Morrison,3,29,6
Horse: Donner        #19936   ,Open Jumper by Points,"$75,000 WEC Grand Prix 340.b",World Equestrian Ocala Winter Spectacular #8,Peter Leone,9,29,0
Horse: Donner Vogel        #19899   ,Low Children's Jumper,$750 Low Children's Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #6,Lindsey N. Ward,8,23,1
Horse: Donovan        #10729   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #4,Renee F. Lenkart,8,26,1
Horse: Donzi        #18041   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #2,Kama Godek,4,12,5
Horse: Dorado        #19758   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #7,Mirielle Kivort,5,14,4
Horse: Doris Dee        #18616   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #3,Lia Rannik,8,24,1
Horse: Dorito B        #20578   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #8,Courtney Lee,8,23,1
Horse: Double Diamond Magic        #17325   ,Novice Children's/Adult Jumper,$500 Novice Children's Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #1,Chloe Halsnik,6,18,3
Horse: Double Dutch        #13365   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/Am Own 1.30m/1.35m 340.c,World Equestrian Ocala Winter Spectacular #12,Elizabeth (R Dykes,5,10,4
Horse: Double Dutch        #15750   ,National Derby by money won,$5000 USHJA National Hunter Derby 3',World Equestrian Center Winter Classic #6,Madison Fankhauser,9,27,150
Horse: Douceurr        #21084   ,Intermediate Adult Hunter,$50 Intermediate Adult Hunter U/S,World Equestrian Ocala Winter Spectacular #11,Brittany Desiderio,8,25,1
Horse: Doutzen        #15229   ,Low Children's Jumper,Low Children's Jumper 1.00m 2.2b,World Equestrian Center Winter Classic #18,Alivia X. Kohus,3,9,6
Horse: Downtown's Belmont        #10731   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #7,Annita O'Connor,3,39,6
Horse: Downtown's Main Event        #10732   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #8,Shannon Sullivan,12,27,0
Horse: DowntownÂ?s Chicago        #20126   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Shannon Sullivan,4,29,5
Horse: Dr. J        #22204   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #12,Grant Seger,8,35,1
Horse: Dr. J        #19858   ,1.35m Jumper,$1000 1.35 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #6,Grant Seger,6,18,3
Horse: Dr. J        #21817   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #11,Grant Seger,7,36,2
Horse: Dragon        #17339   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Eric Mc Carthy,8,12,1
Horse: Dragonfly Silver and Gold        #19145   ,Medium Pony Hunter,Medium Pony Hunter Model,World Equestrian Ocala Winter Spectacular #5,Aiva Gamelin,6,8,1.5
Horse: Dragonslair Bedazzled        #17211   ,Short Stirrup Hunter,Short Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #8,Emma Caruso,4,8,5
Horse: Drakkar        #19764   ,Intermediate Children's Hunter,$50 Intermediate Children's Hunter U/S,World Equestrian Ocala Winter Spectacular #6,Sydney Rookes,8,27,1
Horse: Dream Catcher HB        #20125   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #7,Murat Senelt,5,24,4
Horse: Dream Chic        #19722   ,Children's Pony Hunter Large,"$100 Children's Pony Hunter Large 2'6""",World Equestrian Ocala Winter Spectacular #6,Ava Norton,5,5,4
Horse: Dreamacres blue moon edition        #20602   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter (first round,World Equestrian Ocala Winter Spectacular #8,Mia Vogel,5,26,4
Horse: Dreamcatcher        #21332   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #10,Jeffrey S. Ayers,3,5,6
Horse: Dreamland        #18028   ,"Large Junior Hunter 3'6""","$150 Junior Hunter 3'6"" 16-17 U/S",World Equestrian Ocala Winter Spectacular #6,Addison Reed,8,21,1
Horse: Dressed In Blue        #19732   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 36-49,World Equestrian Ocala Winter Spectacular #6,Michelle Newton,6,9,3
Horse: Dressed to Impress        #21562   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #10,Isabella Hunt,6,7,3
Horse: Dressed Up        #21053   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #9,Katelyn Martin,7,7,2
Horse: Dsp Collind        #18584   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Marquee Cincotta,1,21,10
Horse: Dubai        #18318   ,Open Jumper by Points,"$75,000 Grand Prix 340.b",World Equestrian Ocala Winter Spectacular #2,Samuel Parot,5,28,4
Horse: Dublin        #22560   ,Intermediate Adult Hunter,Intermediate Adult Hunter U/S,World Equestrian Center Winter Classic #19,Hillary Whitehead,6,19,3
Horse: Dublin        #12549   ,Low Jr/AO Jumper,$2500 NAL Low Junior/AO Jumper Classic 1.25m 2.2,World Equestrian Center Winter Classic #19,Caroline Nadalin,2,14,7
Horse: Dubolenski        #18703   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #3,Carly Campbell-Cooper,4,4,5
Horse: Ducati        #20400   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #7,Elsa Eastment,3,16,6
Horse: Ducati        #19715   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #6,Elsa Eastment,3,16,6
Horse: Duchess        #19319   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #7,Niki Martin,1,28,10
Horse: Duchess Rw        #17155   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #1,Sierra Smallwood,3,13,6
Horse: Dudley        #13464   ,Open Jumper by Money Won,$750 1.25 Meter Jumper,World Equestrian Center Winter Classic #10,Paul M. Macrae,7,7,52.5
Horse: Due North        #19122   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #5,David Jennings,5,39,4
Horse: Duke Of Earl        #17357   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #1,Alexis Cruz,4,19,5
Horse: Dun Up Right        #22246   ,"USHJA/NSBA 2'6"" Hunter","USHJA Hunter 2'6"" U/S (California Split)",World Equestrian Center Winter Classic #17,Kate M. Zoidis,6,20,3
Horse: Dunder Mifflin        #21169   ,Novice Children's/Adult Jumper,$500 Novice Adult Jumper Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #9,Taylor Pou,8,21,1
Horse: Dunderbach        #19728   ,Adult Hunter 18-35,$100 Adult Amateur Hunter 18-35 U/S,World Equestrian Ocala Winter Spectacular #6,Jordan Spinelli,7,25,2
Horse: Dunkan        #14509   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #10,Lori R. Taylor,3,18,6
Horse: Dunkirks spirit        #22492   ,Limit/Long Stirrup Hunter,Opportunity Limit Hunter 2',World Equestrian Center Winter Classic #18,Danica Porter,7,10,2
Horse: Duplicate Copy Sf        #18835   ,"Amateur Owner Hunter 3'3"" 18-35","$100 Amateur Owner Hunter 3'3"" 18-35 Years U/S",World Equestrian Ocala Winter Spectacular #5,Katherine Stokan,4,12,5
Horse: Duplukato        #21581   ,"Performance Hunter 3'6""","$400 Performance Hunter 3'6""",World Equestrian Ocala Winter Spectacular #11,,8,9,1
Horse: Durango VDL        #15142   ,1.40m Jumper,$1500 1.40 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #3,Ashley R. Fleischhacker,8,10,1
Horse: Dutch        #17364   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #11,Melanie McCaffrey,5,23,4
Horse: Dutchess Carola        #18174   ,Low Jr/AO Jumper,$5000 Low Jr/Am/AO Jumper Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #2,Morgan Ashby,4,42,5
Horse: Dynamite D' Emma Z        #13812   ,"Performance Hunter 3'3""","$300 Performance Handy Hunter 3'3""",World Equestrian Center Winter Classic #18,Makayla Moncrief,3,15,6
Horse: Dynamo        #21877   ,1.45m Jumper,$12500 1.45m Jumper Classic 340.c,World Equestrian Ocala Winter Spectacular #12,Claire Schreder,8,25,1
Horse: E'Lupicor        #17514   ,Low Jr/AO Jumper,$5000 Low Jr/Am/Am Own Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #1,Jennifer Gallas,9,32,0
Horse: E-gitalica Z        #17549   ,1.35m Jumper,$1000 1.35 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #1,Oliver Mccarthy,7,12,2
Horse: Eagle        #21097   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #9,Avery Sketch,3,14,6
Horse: Eagle Creeks Boo        #15310   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2' U/S,World Equestrian Ocala Winter Spectacular #5,Finley Scheffel,4,27,5
Horse: Ear Resistable        #17153   ,Green Hunter 3',"$150 Green Hunter 3'0"" U/S",World Equestrian Ocala Winter Spectacular #1,Tiffany Lee,5,12,4
Horse: Ear Resistable        #22584   ,"USHJA/NSBA 2'9""","USHJA Hunter 2'9""",World Equestrian Center Winter Classic #19,Tiffany Lee,5,11,4
Horse: Easton        #19727   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #6,Elizabeth Chenelle,3,26,6
Horse: Easton        #14947   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Sophia Wojcik,5,21,4
Horse: Eastpoint        #14649   ,Open Jumper by Points,$5000 Welcome Stake 1.35m 2.2b,World Equestrian Center Winter Classic #19,,14,15,0
Horse: Eastpoint Jb        #15735   ,Low Jr/AO Jumper,$2500 NAL Low Junior/AO Jumper Classic 1.25m 2.2,World Equestrian Center Winter Classic #19,Hanna R. Egan,7,14,2
Horse: Eastside        #19703   ,Large Pony Hunter,Large Pony Hunter Model,World Equestrian Ocala Winter Spectacular #6,Lauren Gee,1,9,4
Horse: Easy Living        #19218   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" U/S",World Equestrian Ocala Winter Spectacular #5,Katelyn Rezac,3,22,6
Horse: Easy Boy 23        #20759   ,1.20m Jumper,$500 1.20 Meter Jumper - 339.a,World Equestrian Ocala Winter Spectacular #8,Andres Soto,6,56,3
Horse: Easy Girl        #17623   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #1,Santiago Lambre,3,26,6
Horse: Eaton        #15597   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 340.c,World Equestrian Ocala Winter Spectacular #5,Elizabeth Stewart,7,10,2
Horse: Ebay        #10754   ,"USHJA 2'9""","USHJA Hunter 2'9""",World Equestrian Center Winter Classic #3,Jill M. Gaffney,2,2,0
Horse: Ebellenosa        #16376   ,Open Jumper by Points,$750 1.25 Meter Jumper 2.2b,World Equestrian Center Winter Classic #18,Sam Berry,1,10,10
Horse: Ecuador        #19313   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #5,Madeline N. Nuckols,6,25,3
Horse: Ecuador W        #18770   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO Jumper 1.30-1.35 339.a,World Equestrian Ocala Winter Spectacular #5,Logan Taylor,5,14,4
Horse: Eddie Bauer        #12256   ,Short Stirrup Hunter,Short Stirrup Hunter U/S,World Equestrian Ocala Winter Spectacular #2,Ann Jackson,6,8,3
Horse: EEI Barcelona        #19307   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #5,Sarah Zelmanovich,3,12,6
Horse: Efendi        #17900   ,"WEC Hunter 3'3""","WEC Hunter 3'3""",World Equestrian Ocala Winter Spectacular #2,Gretchen A. Arndt-Waters,7,10,2
Horse: Ehrenprinz        #17252   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" (California Split)",World Equestrian Ocala Winter Spectacular #2,Elle Lingle,7,48,2
Horse: Eiffel        #18230   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO Jumper 1.30-1.35 340.c,World Equestrian Ocala Winter Spectacular #3,Douglas Schreiber,5,19,4
Horse: Ekilly Van De Horst        #17553   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #3,Josh Dolan,5,24,4
Horse: Ekita Eindeken Z        #22043   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #12,Rowan Willis,7,21,2
Horse: El Casper        #19935   ,Medium Jr/AO Jumper,$1000 Med Jr/Am/Am Own 1.30m/1.35m 339.a,World Equestrian Ocala Winter Spectacular #2,,1,21,10
Horse: El Classico        #22631   ,Open Jumper by Points,$750 1.25 Meter Jumper 2.2b,World Equestrian Center Winter Classic #19,Caroline Nadalin,2,7,7
Horse: El De Oro        #21710   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #11,Shannon M. Dickinson,7,15,2
Horse: El Dorado        #18963   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Camille Maddrix,6,34,3
Horse: El Dorado        #22136   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #12,Olivia Roberts,2,14,7
Horse: El Jefe        #10761   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6""",World Equestrian Ocala Winter Spectacular #5,Marquee Cincotta,8,43,1
Horse: El Tindo        #17894   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #3,Ellen Addison,4,13,5
Horse: Elano G        #21196   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO 1.30m/1.35m 340.c,World Equestrian Ocala Winter Spectacular #9,Leigh Nanda,2,10,7
Horse: Elarina        #21550   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO 1.30m/1.35m 339.a,World Equestrian Ocala Winter Spectacular #10,Rachel Schreier,3,11,6
Horse: Elarina        #21780   ,Medium Jr/AO Jumper,$1000 Med Jr/Am/AO 1.30m/1.35m 340.c,World Equestrian Ocala Winter Spectacular #11,Rachel Schreier,6,15,3
Horse: Elarina        #22172   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #12,Rachel Schreier,8,13,1
Horse: Elarina        #20954   ,Low Jr/AO Jumper,$5000 Low Jr/Am/AO Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #8,Rachel Schreir,12,33,0
Horse: Elarina        #19431   ,Adult Jumper,$1000 Low Jr/Am/AO Jumper 1.20-1.25 339.a,World Equestrian Ocala Winter Spectacular #5,Rachel Schreir,6,38,3
Horse: Elarina        #17443   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 339.a,World Equestrian Ocala Winter Spectacular #1,Rachel Schreir,4,19,5
Horse: Elbi        #17176   ,"Amateur Owner Hunter 3'6"" 36 and over","$400 Amateur Owner Handy Hunter 3'6""",World Equestrian Ocala Winter Spectacular #1,Mary G. Mead,5,5,4
Horse: Elder        #13954   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #9,Natalie Hurst,5,14,4
Horse: Elder Wand        #17844   ,"Junior Hunter 3'3"" 15 & under","$300 Junior Hunter 3'3"" 15&U",World Equestrian Ocala Winter Spectacular #2,Calista Smith,4,11,5
Horse: ElderglenÂ?s Iriel        #18055   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Ginger Martin,1,19,10
Horse: Eldorado        #18213   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #8,Tiffany Hammack,3,27,6
Horse: Elektrisk        #19433   ,Medium Jr/AO Jumper,$1000 Medium Jr/Am/AO Jumper 1.30-1.35 339.a,World Equestrian Ocala Winter Spectacular #5,Erin E. Haas,6,15,3
Horse: Elena T        #18798   ,"Performance Hunter 3'3""","$150 Performance Hunter 3'3"" U/S",World Equestrian Ocala Winter Spectacular #4,Mark S. Rarick-Varner,5,5,4
Horse: Elevage Shangai        #15745   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO 1.20m 339.a,World Equestrian Ocala Winter Spectacular #10,Abigail L. Papka,2,18,7
Horse: Elijah        #22187   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #12,Derek Petersen,1,9,8
Horse: Elijah        #19866   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #6,Derek Petersen,1,10,10
Horse: Elijah        #21309   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #9,Derek Petersen,1,4,8
Horse: Elijah        #20983   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #8,Derek Petersen,3,8,6
Horse: Elijah        #19035   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Derek Petersen,1,11,10
Horse: Elijah        #17737   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Derek Petersen,5,7,4
Horse: Elijah        #21802   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 340.c,World Equestrian Ocala Winter Spectacular #11,Derek Petersen,6,8,3
Horse: Elite        #21671   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9"" U/S",World Equestrian Ocala Winter Spectacular #11,Heather Burst,2,20,7
Horse: Elitere        #20074   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #7,Samantha Siler,3,34,6
Horse: Eliza        #17713   ,1.20m Jumper,$500 1.20 Meter Jumper - 339.a,World Equestrian Ocala Winter Spectacular #1,Kyle Dewar,3,33,6
Horse: Elizabeth II        #22002   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #12,Heather Thomas,5,9,4
Horse: Ella enchanted        #14471   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #3,Avery Roper Vandercar,2,13,7
Horse: Ella Van de Helle        #17516   ,1.30m Jumper,$1000 1.30 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Nicolas Bayzelon,10,39,0
Horse: Ellely's Quality        #22615   ,Intermediate Children's/Adult Jumper,Intermediate Children's/Adult Jumper .80m 22d,World Equestrian Center Winter Classic #19,SÃ¸ren Iversen,5,15,4
Horse: Elliance        #10764   ,"USHJA/NSBA 2'9""","USHJA Hunter 2'9""",World Equestrian Center Winter Classic #17,Erika Marquardt,5,17,4
Horse: Elliot        #14550   ,Conformation Hunter,$200 Conformation Hunter,World Equestrian Center Winter Classic #19,,1,3,8
Horse: Elmo Rz        #18713   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #4,Isabella Rodrigues,5,21,4
